,time,low,high,open,close,volume
407,1627153200,80.85,83.96,82.9,80.91,1831.902
408,1627149600,80.03,82.94,82.22,82.9,1417.101
409,1627146000,81.1,83.13,82.66,82.22,2158.735
410,1627142400,79.92,84.74,83.64,82.7,5336.79
411,1627138800,82.15,84.05,82.74,83.64,4046.705
412,1627135200,80.78,83.0,81.59,82.99,1917.692
413,1627131600,80.37,81.63,81.31,80.99,1122.802
414,1627128000,79.05,81.89,80.62,81.46,3689.277
415,1627124400,78.83,80.68,79.35,80.63,1304.267
416,1627120800,78.32,79.43,78.32,79.42,1208.327
417,1627117200,78.03,78.87,78.13,78.32,317.381
418,1627113600,77.27,78.13,77.64,78.13,120.318
419,1627110000,76.85,77.66,77.08,77.64,236.216
420,1627106400,76.78,77.78,77.39,77.05,448.322
421,1627102800,77.01,78.95,77.7,77.74,1398.399
422,1627099200,76.57,77.87,76.58,77.7,562.487
423,1627095600,76.45,79.06,78.98,76.8,2017.295
424,1627092000,75.92,78.98,76.53,78.98,1180.611
425,1627088400,74.98,76.71,75.16,76.13,1279.842
426,1627084800,74.53,75.77,74.94,75.54,1093.758
427,1627081200,74.39,75.26,74.43,74.96,907.973
428,1627077600,74.12,75.29,75.0,74.94,1070.155
429,1627074000,74.11,75.47,74.65,75.26,771.37
430,1627070400,74.27,75.16,74.28,75.16,451.045
431,1627066800,74.12,75.24,74.64,74.64,727.636
432,1627063200,72.82,75.25,72.88,74.5,1350.05
433,1627059600,71.39,75.85,72.04,73.25,3431.212
434,1627056000,71.35,72.79,72.57,71.91,986.974
435,1627052400,72.06,73.48,73.43,72.57,1444.883
436,1627048800,71.1,74.47,74.34,73.43,2276.203
437,1627045200,73.57,78.0,75.43,74.35,3885.293
438,1627041600,74.52,75.72,75.21,75.49,1013.739
439,1627038000,74.34,75.23,74.6,75.22,699.234
440,1627034400,73.57,74.78,73.82,74.34,365.203
441,1627030800,73.79,74.97,74.97,74.42,305.878
442,1627027200,73.56,75.01,74.0,75.0,531.307
443,1627023600,73.33,74.13,73.74,73.59,250.374
444,1627020000,72.84,75.06,73.07,73.33,978.222
445,1627016400,72.39,75.64,74.9,73.08,2784.839
446,1627012800,73.18,76.84,73.18,74.9,2612.259
447,1627009200,72.78,73.67,73.15,73.18,954.925
448,1627005600,72.97,73.97,73.78,73.09,470.213
449,1627002000,72.41,73.87,73.79,73.78,875.655
450,1626998400,72.79,73.79,73.47,73.79,215.611
451,1626994800,72.38,73.47,72.39,73.18,335.26
452,1626991200,72.12,74.36,73.24,72.63,1283.993
453,1626987600,73.0,74.22,73.49,73.72,955.652
454,1626984000,73.15,73.96,73.43,73.77,294.128
455,1626980400,73.42,74.7,74.52,73.42,835.28
456,1626976800,73.52,74.53,73.71,74.26,763.732
457,1626973200,72.7,73.94,73.37,73.32,419.685
458,1626969600,72.42,74.77,74.77,73.83,995.33
459,1626966000,72.1,74.84,72.5,74.77,842.832
460,1626962400,71.93,73.44,73.03,72.75,639.097
461,1626958800,72.5,73.83,73.36,73.44,518.535
462,1626955200,72.43,73.58,72.61,73.11,864.736
463,1626951600,72.54,74.24,74.21,73.11,687.71
464,1626948000,72.87,74.48,73.72,74.24,330.289
465,1626944400,73.24,74.24,74.15,73.24,301.306
466,1626940800,73.63,74.46,74.03,73.79,248.158
467,1626937200,72.43,74.86,73.83,73.86,1428.269
468,1626933600,73.04,74.49,73.33,73.83,442.118
469,1626930000,72.78,74.72,72.78,73.32,611.174
470,1626926400,72.31,73.66,73.24,72.85,500.243
471,1626922800,72.94,73.8,73.11,73.5,249.148
472,1626919200,72.83,73.58,73.14,72.95,397.845
473,1626915600,73.0,75.0,73.69,73.31,1464.834
474,1626912000,73.09,74.48,73.16,73.69,800.67
475,1626908400,72.27,74.0,72.87,73.45,1287.705
476,1626904800,72.59,74.09,73.37,72.87,826.482
477,1626901200,71.29,73.38,71.53,73.37,630.414
478,1626897600,71.53,73.39,72.29,71.53,1178.792
479,1626894000,72.12,74.51,73.68,72.45,1405.735
480,1626890400,73.27,74.63,74.25,73.68,1235.559
481,1626886800,73.6,74.96,74.42,74.25,1212.656
482,1626883200,72.05,74.88,72.77,74.42,2552.595
483,1626879600,71.85,73.61,72.75,72.77,2145.898
484,1626876000,70.0,74.21,73.84,72.75,5174.62
485,1626872400,73.82,75.67,74.96,73.84,3712.324
486,1626868800,71.63,75.67,72.28,74.96,2910.724
487,1626865200,71.69,73.05,72.97,72.28,760.385
488,1626861600,71.3,73.05,71.81,72.99,705.522
489,1626858000,70.92,71.81,71.24,71.81,258.678
490,1626854400,70.8,71.59,71.31,70.93,268.552
491,1626850800,70.75,73.23,72.79,71.31,1289.442
492,1626847200,70.87,72.84,71.35,72.06,871.097
493,1626843600,70.85,72.61,72.61,71.54,944.365
494,1626840000,68.42,73.56,68.8,72.58,3897.445
495,1626836400,67.32,68.87,67.89,68.87,747.343
496,1626832800,67.15,70.39,70.2,67.89,1325.04
497,1626829200,66.67,70.39,68.64,70.38,1869.682
498,1626825600,67.18,69.64,68.36,68.49,2084.686
499,1626822000,67.4,68.39,68.2,68.36,1117.854
500,1626818400,66.56,68.6,66.57,67.97,1017.141
501,1626814800,66.57,69.37,68.73,67.23,1496.228
502,1626811200,67.61,68.9,67.89,68.74,1765.6
503,1626807600,67.83,72.86,72.86,67.87,4595.831
504,1626804000,72.0,73.83,72.52,72.28,2902.484
505,1626800400,72.07,75.0,73.67,72.8,7524.911
506,1626796800,68.34,73.71,72.15,73.71,5429.005
507,1626793200,72.03,74.81,73.76,72.42,5165.957
508,1626789600,67.59,74.69,67.61,73.23,10250.314
509,1626786000,62.62,72.6,62.92,67.61,7439.815
510,1626782400,59.23,62.94,59.23,62.92,2340.078
511,1626778800,56.51,59.57,57.02,59.56,2050.008
512,1626775200,56.69,59.02,59.01,57.01,2692.354
513,1626771600,58.88,62.16,62.16,59.02,1744.361
514,1626768000,59.26,62.67,59.26,62.25,1562.754
515,1626764400,58.94,59.26,59.15,59.26,538.959
516,1626760800,58.88,59.99,59.64,59.15,2908.802
517,1626757200,59.57,60.95,60.75,59.84,1242.006
518,1626753600,60.28,63.89,63.88,60.88,3329.941
519,1626750000,63.88,64.96,64.94,63.88,4990.377
520,1626746400,64.5,65.35,65.34,64.94,907.335
521,1626742800,65.27,66.83,66.82,65.34,1580.416
522,1626739200,65.86,66.83,65.86,66.83,329.146
523,1626735600,65.83,66.14,66.14,66.06,964.473
524,1626732000,65.83,66.35,66.12,65.9,3204.531
525,1626728400,65.93,66.6,66.17,66.12,456.429
526,1626724800,65.83,66.73,66.08,66.49,763.176
527,1626721200,65.83,66.3,66.14,66.08,516.03
528,1626717600,65.88,66.77,66.09,66.14,545.323
529,1626714000,66.07,66.88,66.68,66.07,876.098
530,1626710400,65.83,67.35,67.29,66.71,2821.656
531,1626706800,67.06,67.44,67.31,67.06,582.648
532,1626703200,67.01,68.93,68.44,67.31,3345.079
533,1626699600,68.38,68.94,68.88,68.46,5021.831
534,1626696000,68.88,69.38,69.27,68.88,2757.125
535,1626692400,69.18,69.51,69.3,69.18,901.457
536,1626688800,69.18,69.45,69.39,69.18,205.309
537,1626685200,69.19,69.4,69.34,69.39,145.702
538,1626681600,69.18,69.75,69.45,69.35,981.339
539,1626678000,69.39,69.78,69.78,69.45,60.789
540,1626674400,69.41,69.88,69.56,69.57,137.836
541,1626670800,69.43,70.11,69.86,69.84,246.472
542,1626667200,69.34,70.06,69.64,69.86,333.033
543,1626663600,69.18,69.65,69.38,69.65,1457.746
544,1626660000,69.18,69.42,69.42,69.31,994.866
545,1626656400,69.18,70.21,70.21,69.25,1254.227
546,1626652800,70.04,70.68,70.32,70.24,623.717
547,1626649200,69.8,70.68,69.8,70.32,946.021
548,1626645600,69.79,70.19,70.18,69.8,461.449
549,1626642000,69.65,70.2,70.18,70.19,374.355
550,1626638400,69.19,70.18,69.35,70.18,493.676
551,1626634800,69.18,70.06,69.77,69.22,795.595
552,1626631200,69.79,70.2,70.01,69.92,310.855
553,1626627600,69.42,70.01,69.97,70.01,356.958
554,1626624000,69.18,69.68,69.36,69.59,376.227
555,1626620400,69.18,69.94,69.82,69.29,302.49
556,1626616800,69.64,70.6,70.53,69.84,1500.552
557,1626613200,69.84,70.54,70.37,70.4,701.205
558,1626609600,70.34,71.07,71.04,70.36,407.211
559,1626606000,70.59,71.08,70.9,71.04,165.591
560,1626602400,70.3,70.91,70.31,70.59,88.364
561,1626598800,70.26,70.67,70.44,70.62,134.642
562,1626595200,70.44,71.15,70.7,70.51,604.869
563,1626591600,70.69,71.36,70.87,70.9,363.207
564,1626588000,70.61,71.36,71.33,71.13,455.274
565,1626584400,70.6,71.64,71.63,71.34,826.223
566,1626580800,71.12,72.24,72.02,71.47,889.351
